id;ano;cidade;data_hora_inicio;data_hora_fim;instituicao_id;edital_id
1;6605;mobile Automotive Route;2020-01-04T23:22:58;2020-01-05T08:24:36;1;1
2;53163;Valleys Producer compressing;2020-01-05T06:00:39;2020-01-05T09:46:31;2;2
3;97886;optimal;2020-01-05T02:06:23;2020-01-05T13:53:31;3;3
4;10990;firewall;2020-01-05T06:05:47;2020-01-04T20:42:17;4;4
5;44704;Enterprise-wide;2020-01-04T20:54:09;2020-01-04T16:00:43;5;5
6;52886;Gorgeous;2020-01-05T06:54:17;2020-01-05T02:04:20;6;6
7;88578;Licensed synthesize Awesome;2020-01-05T08:02:27;2020-01-04T20:22:52;7;7
8;96515;EXE;2020-01-04T18:40:51;2020-01-05T06:15:51;8;8
9;54252;motivating Vatu HDD;2020-01-05T14:14:20;2020-01-04T22:09:29;9;9
10;46721;Outdoors Bedfordshire;2020-01-04T23:28:36;2020-01-05T09:29:25;10;10
