id;tipo;valor_vf;valor_texto;valor_n;valor_z;valor_q
1;NUMERO_Z;V;Chief Response Hryvnia;68312;34819;34131
2;V_F;V;functionalities Enterprise-wide;81050;53284;22001
3;NUMERO_Z;F;viral Marketing Analyst;35271;9341;30365
4;NUMERO_Z;V;Unbranded Rubber Table;88347;71711;68010
5;NUMERO_N;V;Implementation Central;94043;48157;56096
6;TEXTO;F;brand;27111;9711;6165
7;NUMERO_N;F;optical COM Uganda;12010;49034;90663
8;NUMERO_N;V;azure;36927;33340;47835
9;DATA_HORA;F;Business-focused;87489;56976;23732
10;NUMERO_Z;F;Lead index;51401;78582;46537
